MatchRating,NumofHomeWins,NumofDraws,NumofAwayWins,HomeWin%,Draw%,AwayWin%
-30,4,2,7,0.36,0.17,0.54
-29,2,3,12,0.17,0.2,0.71
-28,6,2,7,0.4,0.2,0.5
-27,2,2,5,0.25,0.22,0.71
-26,5,2,6,0.62,0.15,0.5
-25,2,5,10,0.12,0.31,0.67
-24,6,2,5,0.46,0.22,0.42
-23,7,3,8,0.39,0.19,0.53
-22,5,6,9,0.28,0.3,0.47
-21,6,5,5,0.43,0.33,0.31
-20,5,6,16,0.42,0.23,0.59
-19,13,8,9,0.48,0.28,0.3
-18,10,4,10,0.42,0.22,0.43
-17,9,3,16,0.35,0.2,0.57
-16,11,11,15,0.31,0.34,0.41
-15,2,4,11,0.14,0.24,0.69
-14,9,7,12,0.32,0.28,0.44
-13,7,11,7,0.29,0.44,0.33
-12,8,8,15,0.27,0.26,0.54
-11,10,11,22,0.26,0.26,0.52
-10,11,13,16,0.28,0.33,0.42
-9,23,5,15,0.53,0.29,0.36
-8,11,11,18,0.28,0.29,0.46
-7,21,22,10,0.4,0.43,0.2
-6,19,17,22,0.35,0.31,0.38
-5,19,16,17,0.37,0.32,0.35
-4,17,12,17,0.37,0.27,0.39
-3,18,13,13,0.41,0.32,0.3
-2,18,13,31,0.32,0.21,0.51
-1,30,14,17,0.49,0.24,0.29
0,172,98,139,0.42,0.24,0.34
1,17,16,15,0.36,0.35,0.31
2,35,13,20,0.52,0.19,0.33
3,26,11,13,0.53,0.23,0.26
4,30,14,11,0.56,0.26,0.2
5,27,13,9,0.55,0.29,0.19
6,30,8,9,0.64,0.2,0.2
7,22,10,7,0.56,0.28,0.26
8,27,7,7,0.66,0.2,0.18
9,24,13,9,0.52,0.3,0.24
10,11,5,10,0.44,0.19,0.43
11,19,5,10,0.56,0.15,0.36
12,12,7,8,0.44,0.28,0.33
13,19,4,3,0.76,0.15,0.18
14,11,6,5,0.5,0.29,0.31
15,16,6,5,0.67,0.23,0.19
16,20,6,6,0.62,0.22,0.21
17,16,2,5,0.7,0.14,0.24
18,18,12,6,0.5,0.34,0.2
19,14,4,3,0.67,0.33,0.16
20,20,2,2,0.87,0.08,0.14
21,11,4,3,0.61,0.25,0.27
22,12,4,0,0.86,0.25,0.0
23,9,3,2,1.0,0.21,0.17
24,11,6,1,0.61,0.35,0.09
25,8,3,4,0.67,0.3,0.27
26,7,0,0,1.0,0.0,0.0
27,12,4,2,0.67,0.33,0.12
28,15,5,0,0.79,0.25,0.0
29,8,1,4,0.73,0.1,0.31
30,13,2,0,0.87,0.14,0.0
